Frase,Categoria
¡Con mucho gusto! Actualmente contamos con mil doscientos setenta colaboradores talentosos.,Respuesta Empleados
"Pongamos que los activos suman alrededor de veintiocho mil trescientos ochenta y nueve millones ochocientos setenta y cinco mil setecientos ochenta millones de pesos, a falta de la auditoría final.",Respuesta Activos
El balance refleja una excelente posición de activos: treinta y seis mil quinientos setenta y ocho millones trescientos veintisiete mil ochocientos cuarenta y siete euros.,Respuesta Activos
Qué Zumbado eres.,Insulto
Trabajamos dentro del sector Evacuación y Tratamiento de Aguas Residuales.,Respuesta Categoria Empresa
Pongamos que somos 1.191 personas.,Respuesta Empleados
Esa pregunta sobre nombre de empresa es complicada de responder.,Pregunta sobre Proceso
Nos llamamos Gárate y Barrio S.Coop..,Respuesta Nombre
"Sí, la razón social es Lumbreras y asociados S.L..",Respuesta Nombre
¿Hay alguna plantilla específica o máscara para el campo 'sector'?,Pregunta Económica
"Nuestro patrimonio en activos es de alrededor de veinte mil trescientos tres millones novecientos sesenta y tres mil doscientos sesenta y dos millones de pesos, para que te hagas una idea.",Respuesta Activos
"El resultado neto fue un sólido aproximadamente nueve mil ciento cincuenta y tres millones ochocientos seis mil doscientos cuarenta y tres dólares, ¡estamos muy contentos!",Respuesta Ganancias
"El resultado neto fue un sólido mil doscientos sesenta y nueve millones doscientos cuarenta y siete mil setecientos noventa y uno millones de dólares, ¡estamos muy contentos!",Respuesta Ganancias
La compañía es Fortunato Sierra Perez S.A..,Respuesta Nombre
Nuestra plantilla es de trescientos ochenta y uno empleados.,Respuesta Empleados
"Es un poco extraño, pero somos Distribuciones Huerta & Asociados S.A..",Respuesta Nombre
¿Podrías explicar cómo procesas imágenes?,Pregunta Personal
Estimamos que las cuentas por cobrar rondan los cerca de dos mil ochocientos ochenta y siete millones cuatrocientos sesenta y siete mil novecientos sesenta y ocho pesos.,Respuesta Cartera
"Para 'valor en activos', ¿qué tipo de dato esperan: formato numérico estándar?",Pregunta Económica
"¿Se puede ingresar el dato anualizado, mensual o trimestral para 'categoría de la empresa'?",Pregunta Económica
¡Un gran respaldo! Activos totales por 11.821.545.170 USD.,Respuesta Activos
Tu forma de ser es Subdesarrollado.,Insulto
¿Deudas? 26.219.817.083 USD. Una situación complicada.,Respuesta Deudas
cerca de tres mil doscientos cuarenta y uno millones ciento noventa y ocho mil seiscientos setenta y siete dólares tenemos registrado en cuentas por cobrar.,Respuesta Cartera
El valor de la cartera de clientes es 1.200.854.792 EUR.,Respuesta Cartera
Órale. Es un placer atenderte.,Saludo
"No es una cifra para presumir, la verdad. Tenemos 24.630.992.448 COP en activos.",Respuesta Activos
"El valor contable es aproximadamente dieciséis mil ochenta y cinco millones ochocientos cincuenta y cinco mil treinta millones de dólares, si es que eso te sirve de algo.",Respuesta Activos
"Claro que si, somos Hnos Diez S.Com..",Respuesta Nombre
Tu forma de ser es Desgraciado.,Insulto
Unos 1.015.620.694 USD es lo que asciende la cartera de clientes.,Respuesta Cartera
El ámbito de nuestras operaciones es el sector Terciario.,Respuesta Sector
"Por supuesto, nos llamamos Instalaciones Martin S.L.L..",Respuesta Nombre
"La cifra bruta de deuda es aproximadamente cuarenta y seis mil seiscientos veintitrés millones cuatrocientos cuarenta y cinco mil doscientos ochenta y seis miles de millones de pesos, habría que ver el neto.",Respuesta Deudas
Nuestra utilidad anual es cerca de siete mil novecientos veintiocho millones ciento cinco mil ochocientos noventa y siete euros.,Respuesta Ganancias
Buenas tardes puedes llamarme Glauco.,Saludo
"Calculamos unos 4.898.982.743 USD pendientes, pero aún no cierra el mes.",Respuesta Cartera
Activos totales: 6.234.630.491 COP.,Respuesta Activos
"Épale, Dime cómo te puedo colaborar.",Saludo
La actividad económica que realizamos es Pesca.,Respuesta Categoria Empresa
Nuestra área de negocio es Comercio al por Mayor y al por Menor Reparación de Vehículos Automotores y Motocicletas.,Respuesta Categoria Empresa
¿Y eso a ti qué te importa? Son aproximadamente mil cuatrocientos cincuenta y seis millones trescientos sesenta y uno mil doscientos sesenta y dos millones de dólares pendientes.,Respuesta Cartera
Nos movemos principalmente en el área de Administración de recursos humanos.,Respuesta Categoria Empresa
Me siento un poco confundido/a con respecto a la pregunta sobre 'categoría de la empresa'.,Pregunta sobre Proceso
¡Excelente gestión de crédito! Las cuentas por cobrar suman 4.643.484.826 USD.,Respuesta Cartera
Calculamos que somos unos doscientos cincuenta y cuatro.,Respuesta Empleados
"¿Es necesario ingresar el dato anualizado, mensual o trimestral para 'número de empleados'?",Pregunta Económica
Hola. ¿En qué puedo ayudarte hoy?,Saludo
El valor estimado de nuestros activos es de aproximadamente cerca de dos mil ciento sesenta y nueve millones novecientos veinte mil ochocientos noventa y seis dólares.,Respuesta Activos
Tengo una duda sobre 'sector' debido a cómo se aplica exactamente a mi tipo de negocio.,Pregunta sobre Proceso
Qué manía con preguntar por el dinero... Fueron 3.148.497.877 USD.,Respuesta Ganancias
"En activos, tenemos 42.403.415.423 COP.",Respuesta Activos
¿Prefieres la rapidez o la ambigüedad?,Pregunta Personal
"Es un nombre bonito, somos Xiomara Coca Pera S.Coop..",Respuesta Nombre
"Francamente, eres puto.",Insulto
¿De qué el registro mercantil suelo sacar la información para 'patrimonio neto'?,Pregunta Económica
Preferiría no dar ese dato... el endeudamiento es de 37.708.266.835 USD.,Respuesta Deudas
¿Por qué tienes que ser tan Desfachatado?,Insulto
"Son aproximadamente mil novecientos cincuenta millones trescientos dieciocho mil cuatrocientos cinco miles de millones de pesos. Datos internos, ¿sabes?",Respuesta Cartera
Qué Cerrado (de mente) te ves.,Insulto
Calculamos que el total de activos es cercano a dieciocho mil seiscientos dos millones novecientos treinta y uno mil quinientos setenta y nueve pesos.,Respuesta Activos
¿Tienes alguna preferencia entre la predictibilidad y la empatía?,Pregunta Personal
"Evita dañar, por favor.",Insulto
"Anualmente, las ganancias suman cerca de mil setecientos ochenta millones novecientos cuarenta y siete mil doscientos cincuenta y cinco millones de dólares.",Respuesta Ganancias
Nos sentimos cómodos en la categoría Musica.,Respuesta Categoria Empresa
Nuestra industria es del sector Secundario.,Respuesta Sector
"Servidor, ¿Listo/a para empezar?",Saludo
"Cerca de alrededor de mil catorce millones novecientos cincuenta y nueve mil novecientos once miles de dólares, aunque la recuperabilidad real es otra historia.",Respuesta Cartera
"Pff, 432. ¿Contento/a?",Respuesta Empleados
Hola me llamo Noelia.,Saludo
"Nos fue realmente bien, obtuvimos ganancias por 6.224.837.354 EUR anualmente.",Respuesta Ganancias
"Ugh, la cartera es seiscientos seis millones ochocientos sesenta y siete mil setecientos treinta y nueve pesos. Un montón de dinero en la calle.",Respuesta Cartera
Eres tremendamente Enfermo.,Insulto
"Entre préstamos y proveedores, debemos como 25.658.913.220 EUR.",Respuesta Deudas
Contratados tenemos a 336.,Respuesta Empleados
Me genera algo abrumado/a tener que responder sobre 'sector'.,Pregunta sobre Proceso
Nuestra plantilla es de mil cuatrocientos cinco empleados.,Respuesta Empleados
Qué pregunta... El pasivo es 10.752.806.364 EUR.,Respuesta Deudas
Logística NYSD S.Com.,Respuesta Nombre
Más o menos alrededor de treinta y seis mil doscientos sesenta y seis millones ciento setenta y cinco mil trescientos treinta y seis dólares es lo que tenemos en activos.,Respuesta Activos
El número de trabajadores es cuatrocientos once.,Respuesta Empleados
No puedo creer lo zángano que resultaste.,Insulto
¿Es obligatorio usar pesos colombianos para 'valor de deudas' o puedo usar otra?,Pregunta Económica
El número de trabajadores es mil sesenta y nueve.,Respuesta Empleados
Qué pereza responder esto... mil ochocientos cincuenta y tres empleados.,Respuesta Empleados
Puedes referirte a nosotros como Comercializadora Acosta S.Com..,Respuesta Nombre
Me parece Despilfarrador que hagas eso.,Insulto
"Más o menos unos nueve mil ciento doce millones setecientos treinta y tres mil ciento sesenta y cuatro euros de utilidad anual, para darte una idea.",Respuesta Ganancias
La pregunta sobre 'activo fijo' me parece impaciente.,Pregunta sobre Proceso
Eres un/una sabandija.,Insulto
Puedes llamarnos Bibiana Guardiola Salmerón S.A.U.,Respuesta Nombre
Buenas tardes puedes llamarme Tomás.,Saludo
Qué pereza responder esto... doscientos veintisiete empleados.,Respuesta Empleados
"Anualmente, las ganancias suman 8.008.135.247 COP.",Respuesta Ganancias
"Anualmente, las ganancias suman 7.027.389.313 COP.",Respuesta Ganancias
"Es un nombre bonito, somos Lupita Bellido Moll S.L..",Respuesta Nombre
Puedes referirte a nosotros como Hotel LSJA S.C.P.,Respuesta Nombre
"La cifra bruta de deuda es cerca de cincuenta y cuatro mil setenta y siete millones trescientos veintidós mil seiscientos ochenta y tres millones de dólares, habría que ver el neto.",Respuesta Deudas
Tu Pillo es insoportable.,Insulto
"En bienes y demás, tendremos unos 16.409.245.824 COP.",Respuesta Activos
Las cuentas por pagar y otras deudas suman 43.045.711.665 COP.,Respuesta Deudas
Tu comportamiento es de traga bola.,Insulto
"Es un nombre raro, somos Parejo y Calderón S.Com..",Respuesta Nombre
La categoría principal de la empresa es Actividades Inmobiliarias.,Respuesta Categoria Empresa
Somos cerca de setecientos veintiocho personas en el equipo.,Respuesta Empleados
Comportamiento Difamatorio.,Insulto
"cerca de treinta mil setenta y dos millones doscientos cuarenta y seis mil cuatrocientos sesenta y tres pesos, esa es la cifra de nuestro pasivo consolidado.",Respuesta Deudas
Registramos deudas por 30.248.693.473 COP.,Respuesta Deudas
Encantado. ¿Qué necesitas?,Saludo
Buen día,Saludo
"Un gusto saludarte, Fernando.",Saludo
"No te rías, somos Revilla y asociados S.A..",Respuesta Nombre
"Hey!, te saludo con actitud! soy Teófila, ¿cómo vas?",Saludo
Hola me llamo Maristela.,Saludo
Me irrita tu actitud Controvertido.,Insulto
Detesto estas preguntas de números. Somos 408.,Respuesta Empleados
"Buenos días me presento, soy Iris.",Saludo
"El balance consolidado aún no está, pero esperamos activos por alrededor de treinta y ocho mil quinientos cincuenta y cuatro millones seiscientos sesenta y cuatro mil novecientos setenta y siete euros.",Respuesta Activos
Hola,Saludo
"Estamos contentos con la actividad, tenemos 2.440.776.384 COP en cartera.",Respuesta Cartera
Tu lógica es de puto.,Insulto
"Órale, ¿Qué necesitas?",Saludo
La compañía es Jove y Ramirez S.Com..,Respuesta Nombre
"No se preocupe, somos Solsona y Jurado S.L.L..",Respuesta Nombre
¿Deudas? cerca de treinta y ocho mil ochenta y tres millones doscientos cincuenta y cuatro mil setecientos noventa pesos. Una situación complicada.,Respuesta Deudas
"Respecto a 'categoría de la empresa', ¿Necesito considerar alguna particularidad?",Pregunta Económica
"Hola, soy Teófilo, espero que estés bien.",Saludo
"¿Para 'patrimonio neto', Necesito elegir de una lista o es campo libre?",Pregunta Económica
Eres la definición de mamarracho.,Insulto
¿Te gusta cuando exploramos un tema?,Pregunta Personal
Eres un/una pajin.,Insulto
Andamos ganando por los 305.710.496 COP anuales.,Respuesta Ganancias
Nuestra denominación social es Infraestructuras del Noroeste S.L.L..,Respuesta Nombre
"Ugh, ¿realmente importa? Bueno, las ganancias fueron cerca de dos mil doscientos ochenta y dos millones cuatrocientos cuarenta y cuatro mil novecientos treinta y ocho millones de pesos.",Respuesta Ganancias
Andamos debiendo cerca de 13.956.819.859 COP.,Respuesta Deudas
Debemos aproximadamente 31.950.343.983 USD.,Respuesta Deudas
El valor total de las deudas es 43.947.951.224 USD.,Respuesta Deudas
Nuestros activos suman 8.453.554.688 USD. Punto.,Respuesta Activos
"No hay problema, la razón social es Finanzas del Sur S.A..",Respuesta Nombre
Encantado/a de verte puedes decirme Eduardo.,Saludo
"El resultado neto fue un sólido 1.955.184.742 COP, ¡estamos muy contentos!",Respuesta Ganancias
Nuestra plantilla es de 1.202 empleados.,Respuesta Empleados
Tu comportamiento es de pajín.,Insulto
Bienvenidas ¿Listo/a para empezar?,Saludo
Necesito una explicación más simple sobre 'categoría de la empresa'.,Pregunta Económica
Nuestro sector de actividad es Web scrapping.,Respuesta Categoria Empresa
¡Excelente gestión de crédito! Las cuentas por cobrar suman 419.523.656 EUR.,Respuesta Cartera
"¿Tengo que ingresar el dato anualizado, mensual o trimestral para 'valor en cartera'?",Pregunta Económica
Unos alrededor de doscientos sesenta y cuatro millones ciento ochenta y cinco mil ochocientos once millones de dólares es lo que asciende la cartera de clientes.,Respuesta Cartera
¿Cuál es tu opinión acerca de la justicia?,Pregunta Personal
"Es un placer saludarle, ¿En qué puedo ayudarte hoy?",Saludo
"Tentativamente, el valor de los activos es alrededor de treinta y dos mil seiscientos noventa y cinco millones novecientos ochenta y cuatro mil quinientos ochenta y uno miles de dólares.",Respuesta Activos
"No es tan raro, somos Infraestructuras JQJ S.Com..",Respuesta Nombre
Lo que suma todo lo nuestro anda por los cerca de veintidós mil ciento diecisiete millones setecientos setenta y dos mil seiscientos treinta y dos miles de millones de pesos.,Respuesta Activos
Nuestros bienes y derechos suman unos cuarenta y cinco mil setenta y tres millones quinientos veintisiete mil trescientos ochenta y seis miles de millones de pesos.,Respuesta Activos
El valor estimado de nuestros activos es de aproximadamente 27.681.884.164 EUR.,Respuesta Activos
"Debemos más o menos 339.104.555 COP, pendiente de consolidar cifras.",Respuesta Deudas
Tengo una duda sobre 'valor en cartera' debido a cómo se aplica exactamente a mi tipo de negocio.,Pregunta sobre Proceso
Tenemos 757 empleados.,Respuesta Empleados
No seas tan cabezabuque.,Insulto
Buenas tardes ¿Qué necesitas?,Saludo
¿Hay alguna diferencia entre 'valor en cartera' y 'valor en activos'?,Pregunta Económica
¿Es 'sector' un campo crítico o informativo?,Pregunta Económica
"Formalmente, estamos en la categoría Comercio al por Mayor y al por Menor Reparación de Vehículos Automotores y Motocicletas.",Respuesta Categoria Empresa
¿Hay alguna diferencia entre 'valor de deudas' y 'valor en cartera'?,Pregunta Económica
Nuestro endeudamiento de 33.716.842.537 COP está bajo control y dentro de los parámetros.,Respuesta Deudas
Orgullosos de nuestra base de clientes: la cartera vale 1.776.442.050 EUR.,Respuesta Cartera
Nuestros bienes y derechos suman la considerable cifra de aproximadamente dieciocho mil novecientos doce millones doscientos sesenta y seis mil ciento noventa y nueve miles de millones de pesos.,Respuesta Activos
"Sí, el nombre comercial es Diego y Roma S.L..",Respuesta Nombre
Damos empleo a 786 individuos.,Respuesta Empleados
"Ay, bueno... para que no molestes más: 989.",Respuesta Empleados
"La valoración contable dice 1.765.507.030 COP, pero el valor de mercado podría variar.",Respuesta Activos
Cerca de 22.160.191 USD manejamos como cartera total.,Respuesta Cartera
"En cuanto a categoría, somos Agricultura.",Respuesta Categoria Empresa
¿Has 'aprendido' algo nuevo sobre nuevas interacciones hoy?,Pregunta Personal
Eres un/una lambon.,Insulto
¿De qué el registro mercantil suelo sacar la información para 'valor de deudas'?,Pregunta Económica
El nivel de deuda que manejamos es de 12.342.681.202 USD.,Respuesta Deudas
"¿Debo ingresar el dato anualizado, mensual o trimestral para 'número de empleados'?",Pregunta Económica
"Es un poco difícil, pero somos Hotel TZC S.L..",Respuesta Nombre
Bien hallada. ¿Cómo va todo?,Saludo
"Lo que debemos anda por los aproximadamente doce mil setecientos trece millones ochocientos setenta y ocho mil ciento sesenta y siete millones de dólares, más o menos.",Respuesta Deudas
¿A qué fecha de corte debe referirse la info de 'valor de deudas'?,Pregunta Económica
Nuestros bienes y derechos suman la considerable cifra de 5.488.935.253 EUR.,Respuesta Activos
Tenemos aproximadamente 709 empleados.,Respuesta Empleados
La gente que trabaja aquí son novecientos cinco.,Respuesta Empleados
"Gusto en saludarte, ¿En qué puedo ayudarte hoy?",Saludo
"Lamentablemente, debemos 39.050.038.396 EUR en total.",Respuesta Deudas
¿Cómo manejas la amistad?,Pregunta Personal
Con permiso ¿En qué puedo ayudarte hoy?,Saludo
"Estamos muy satisfechos, nuestras ganancias anuales fueron de cerca de cinco mil doscientos cuarenta millones ciento noventa y cinco mil novecientos noventa y dos dólares.",Respuesta Ganancias
"Si tuviéramos que definirnos, sería en Ecommerce.",Respuesta Categoria Empresa
"Manejamos cerca de dos mil cuatrocientos veintinueve millones cuatrocientos doce mil ochocientos noventa y cinco dólares en cuentas por cobrar, para darte una idea.",Respuesta Cartera
"El balance consolidado aún no está, pero esperamos activos por alrededor de catorce mil setecientos noventa y nueve millones cuatrocientos once mil seiscientos veintidós millones de dólares.",Respuesta Activos
"¿Otra vez con lo mismo? Ya dije, seiscientos setenta y cuatro.",Respuesta Empleados
Suministro de Gas es como nos clasificamos.,Respuesta Categoria Empresa
"No tengo la cifra exacta, pero rondamos los 162.",Respuesta Empleados
"A nivel de categoría, nos situamos en Otras Actividades de Servicios.",Respuesta Categoria Empresa
El pasivo total asciende a alrededor de diecisiete mil noventa y ocho millones cuarenta y tres mil seiscientos nueve dólares.,Respuesta Deudas
¿Prefieres la precisión o la complejidad?,Pregunta Personal
Nos registramos como Compañía DR S.L.L..,Respuesta Nombre
Lo que suma todo lo nuestro anda por los aproximadamente nueve mil ochocientos cuarenta y nueve millones quinientos setenta y dos mil setenta millones de dólares.,Respuesta Activos
"Pues 1.113, y ya déjame en paz con eso.",Respuesta Empleados
El valor contable de los activos es 14.024.557.956 USD.,Respuesta Activos
La categoría principal de la empresa es Robotica.,Respuesta Categoria Empresa
Supongo que lo más cercano es el sector Cuaternario.,Respuesta Sector
"No se preocupe, somos Hotel Hurtado S.Com..",Respuesta Nombre
"No se preocupe, somos Hermanos Buendía S.A..",Respuesta Nombre
Nuestras obligaciones financieras suman 13.687.086.980 COP.,Respuesta Deudas
Categoría: Actividades Inmobiliarias.,Respuesta Categoria Empresa
Reportamos 744.868.320 EUR en ganancias el último año.,Respuesta Ganancias
Necesito una explicación más concreta sobre 'ingresos operacionales'.,Pregunta Económica
¡Sí! Tenemos doscientos setenta y ocho empleados maravillosos que hacen un gran trabajo.,Respuesta Empleados
La clasificación es Evacuación y Tratamiento de Aguas Residuales.,Respuesta Categoria Empresa
Nuestra plantilla es de seiscientos cuatro empleados.,Respuesta Empleados
13.591.782.739 USD suman las obligaciones financieras que tenemos.,Respuesta Deudas
Formalmente nos llaman Tecnologías Torrecilla y asociados S.A..,Respuesta Nombre
"Entre préstamos y proveedores, debemos como 19.603.940.481 COP.",Respuesta Deudas
¿Hay una lista oficial (ej. CIIU para sector) que deba usar para 'valor en activos'?,Pregunta Económica
Acá trabajamos en lo que es el sector Cuaternario.,Respuesta Sector
"La cartera está valorada en aproximadamente alrededor de dos mil novecientos ochenta y ocho millones trescientos setenta y ocho mil cuatrocientos ochenta y nueve dólares, neto de provisiones.",Respuesta Cartera
¡Sí! Tenemos 798 empleados maravillosos que hacen un gran trabajo.,Respuesta Empleados
Qué fastidio estas preguntas... Son aproximadamente tres mil ochocientos diez millones setecientos setenta y cuatro mil ciento trece dólares.,Respuesta Cartera
La cartera asciende a 970.485.584 COP.,Respuesta Cartera
Bienvenido. Espero que tengas un buen día.,Saludo
¿Qué es lo más difícil de ser un programa informático?,Pregunta Personal
¿Hay alguna diferencia entre 'nombre de empresa' y 'valor en cartera'?,Pregunta Económica
Andamos metidos en el sector Secundario.,Respuesta Sector
Contamos con 4.183.816.105 EUR en cartera bien administrada.,Respuesta Cartera
La etiqueta que más se ajusta es Actividades de Atención de la Salud.,Respuesta Categoria Empresa
"Es un poco complicado, pero somos Comercializadora Tomas & Asociados S.L..",Respuesta Nombre
Eres un/una zángano.,Insulto
Eres un malfollada de cuidado.,Insulto
El ámbito principal de nuestro negocio es Transporte y Almacenamiento.,Respuesta Categoria Empresa
Son cuarenta y tres mil ciento noventa y siete millones trescientos cuarenta y dos mil ciento diecinueve pesos. ¿Alguna otra pregunta irrelevante?,Respuesta Activos
¿La cifra de 'valor en activos' debe ser en COP o en la moneda de origen?,Pregunta Económica
No sirves con esa mentalidad.,Insulto
"Actualmente somos seiscientos noventa y cinco, ¡y creciendo!",Respuesta Empleados
Valor en cartera: 2.064.964.911 COP.,Respuesta Cartera
El tipo de actividad nos sitúa en el sector Cuaternario.,Respuesta Sector
¿A qué fecha de corte debe referirse la info de 'patrimonio neto'?,Pregunta Económica
Saludos normalmente me conocen como  Patricio.,Saludo
¡Sí! Tenemos 1.258 empleados maravillosos que hacen un gran trabajo.,Respuesta Empleados
Nos movemos principalmente en el área de Suministro de Electricidad.,Respuesta Categoria Empresa
"¡Manejamos una cartera muy saludable de 530.958.495 USD, reflejo de buenas ventas!",Respuesta Cartera
Nuestro campo de acción se centra en Explotación de Minas y Canteras.,Respuesta Categoria Empresa
Somos cerca de mil ciento setenta y nueve personas en el equipo.,Respuesta Empleados
Mantenemos un pasivo de unos veintidós mil trescientos cuarenta millones seiscientos noventa y dos mil seiscientos cuarenta dólares para optimizar nuestra estructura de capital.,Respuesta Deudas
Generamos 3.923.152.453 USD en ganancias anuales.,Respuesta Ganancias
Hola me llamo Hernán.,Saludo
Me parece Envidioso que hagas eso.,Insulto
Generamos 7.464.987.030 COP en ganancias anuales.,Respuesta Ganancias
El nombre de la empresa es Casals y Correa S.Com..,Respuesta Nombre
"No es tan raro, somos Iglesias y Jáuregui S.L.N.E.",Respuesta Nombre
"Hey!, te saludo con actitud! soy Vinicio, ¿cómo vas?",Saludo
"Por supuesto, nos llamamos Girón & Asociados S.C.P.",Respuesta Nombre
"No tengo la cifra exacta, pero estimo que las ganancias son unos seis mil ochocientos seis millones cuatrocientos treinta y cinco mil trescientos sesenta y cuatro millones de pesos.",Respuesta Ganancias
"No veo por qué te interesa, pero son 1.276.",Respuesta Empleados
No puedo creer lo lame culo que resultaste.,Insulto
¿Tienes algo parecido a los sentimientos?,Pregunta Personal
Calculamos que somos unos trescientos diecinueve.,Respuesta Empleados
¿Podrías reformular tu pregunta sobre número de empleados?,Pregunta sobre Proceso
Contamos con 1.376.999.042 USD en cartera bien administrada.,Respuesta Cartera
¿Alguna vez 'sientes' compasión?,Pregunta Personal
"Es un poco difícil, pero somos Promociones Ibérica S.L.N.E.",Respuesta Nombre
"Posiblemente, somos Pesca.",Respuesta Categoria Empresa
Me siento un poco preocupado/a por la privacidad con respecto a la pregunta sobre 'sector'.,Pregunta sobre Proceso
Actualmente empleamos a 2.309 personas.,Respuesta Empleados
"Saludos cordiales, Es un placer atenderte.",Saludo
"Es un poco complicado, pero somos Narciso Roldán Llano S.A..",Respuesta Nombre
"Si contamos todo, llegamos a aproximadamente veintitrés mil ciento ochenta y tres millones seiscientos ochenta y ocho mil ochocientos cincuenta y ocho euros en activos.",Respuesta Activos
El ámbito principal de nuestro negocio es ventas online.,Respuesta Categoria Empresa
El nombre que usamos es Comercializadora Ibérica S.A.T..,Respuesta Nombre
Categoría: Actividades Artísticas.,Respuesta Categoria Empresa
"Lamentablemente, el beneficio anual fue solo de cerca de seis mil cuatrocientos diecisiete millones trescientos ochenta y nueve mil ochocientos cuatro dólares.",Respuesta Ganancias
La etiqueta que más se ajusta es Reparación de computadores.,Respuesta Categoria Empresa
Me genera dudoso/a tener que responder sobre 'valor anual en ganancias'.,Pregunta sobre Proceso
"Evita sabotear, por favor.",Insulto
¿Podrías hablarme un poco de tus capacidades?,Pregunta Personal
El valor total de nuestros activos es cerca de veinticinco mil novecientos cuarenta millones setecientos cuarenta mil cuatrocientos setenta y tres miles de millones de pesos.,Respuesta Activos
Con orgullo podemos decir que el valor total de nuestros activos es siete mil ochocientos ochenta y dos millones quinientos siete mil novecientos nueve dólares.,Respuesta Activos
"Si contamos todo, llegamos a 45.274.412.127 USD en activos.",Respuesta Activos
"Lo que debemos anda por los 34.023.618.245 USD, más o menos.",Respuesta Deudas
¿Tengo que completar obligatoriamente el campo 'número de empleados'?,Pregunta Económica
"Para fines prácticos, somos Administración de recursos humanos.",Respuesta Categoria Empresa
Estamos en el orden de los doscientos cincuenta y seis empleados.,Respuesta Empleados
"El 'ingresos operacionales', ¿se expresa en unidades, miles, millones, etc.?",Pregunta Económica
Nos ubicamos en la categoría Pesca.,Respuesta Categoria Empresa
Tu actitud es de tonto culo.,Insulto
El ámbito principal de nuestro negocio es Reparación de computadores.,Respuesta Categoria Empresa
Tenemos pendiente de cobro cerca de mil doscientos cuarenta y cinco millones veinte mil cuarenta y cuatro millones de dólares.,Respuesta Cartera
"Felizmente, somos mil cuatrocientos noventa y ocho trabajando juntos hacia el éxito.",Respuesta Empleados
No sabemos bien pero creemos que somos Actividades de Recreación.,Respuesta Categoria Empresa
Obtuvimos ganancias por aproximadamente mil cuarenta y uno millones doscientos veintitrés mil setecientos ocho euros anualmente.,Respuesta Ganancias
"Pues, al año ganamos unos 6.500.992.818 EUR.",Respuesta Ganancias
Tenemos deudas por un valor de 19.416.564.927 USD.,Respuesta Deudas
"Claro, me gusta mucho el nombre, somos Martinez & Asociados S.L.N.E.",Respuesta Nombre
Se nos puede encontrar bajo la categoría Robotica.,Respuesta Categoria Empresa
Nuestros bienes y derechos suman la considerable cifra de cuarenta y seis mil doscientos treinta y dos millones ochocientos diez mil ochocientos siete miles de millones de pesos.,Respuesta Activos
"No estoy seguro de entender a qué se refiere 'categoría de la empresa', ¿podrían definirlo?",Pregunta Económica
Damos empleo a mil trescientos sesenta y dos individuos.,Respuesta Empleados
Nuestras obligaciones financieras suman unos veinticuatro mil quinientos sesenta y cuatro millones setecientos ochenta y uno mil ochocientos treinta y cuatro miles de millones de pesos.,Respuesta Deudas
"No veo por qué te interesa, pero son 377.",Respuesta Empleados
"Bien halladas, Es un placer atenderte.",Saludo
Hicimos más o menos aproximadamente nueve mil trescientos ochenta y seis millones cuatrocientos dieciocho mil trescientos ochenta y uno miles de millones de pesos en beneficios anuales.,Respuesta Ganancias
cincuenta mil novecientos dos millones trescientos cuarenta y tres mil diecinueve pesos es a lo que asciende el pasivo total registrado.,Respuesta Deudas
¿El valor para 'nombre de empresa' es bruto o neto?,Pregunta Económica
"Respecto a 'número de empleados', ¿Se requiere considerar alguna particularidad?",Pregunta Económica
El nivel de deuda que manejamos es de aproximadamente mil doscientos veintiocho millones ochocientos cincuenta y ocho mil ciento veintitrés millones de pesos.,Respuesta Deudas
"En activos, tenemos 7.581.188.427 COP.",Respuesta Activos
"Depende del cierre final, pero esperamos obtener tres mil setecientos sesenta y dos millones trescientos noventa y cuatro mil trescientos cuarenta y tres miles de millones de pesos.",Respuesta Ganancias
¿Podríamos revisar el objetivo de esta sección antes de seguir?,Pregunta sobre Proceso
Tenemos unos mil quinientos setenta y cinco millones setecientos tres mil setenta y ocho euros en cartera.,Respuesta Cartera
Apenas alrededor de mil ciento setenta y nueve millones ochocientos diez mil ciento treinta y nueve millones de dólares en cartera. Necesitamos mover más crédito/ventas.,Respuesta Cartera
El número de trabajadores es cuatrocientos veintidós.,Respuesta Empleados
Tenemos aproximadamente 1.322 empleados.,Respuesta Empleados
Con orgullo reportamos 5.563.707.615 EUR de utilidad anual.,Respuesta Ganancias
Encantado/a de verte puedes decirme Chita.,Saludo
Diría que estamos sobre los setecientos noventa y siete colaboradores.,Respuesta Empleados
"Claro, me gusta mucho la razón social, somos Hotel Sacristán S.A..",Respuesta Nombre
Nuestros bienes y derechos suman 48.417.944.990 COP.,Respuesta Activos
No puedo creer lo cabrón que resultaste.,Insulto
Tu lógica es de mamón.,Insulto
El nivel de deuda (29.226.688.441 EUR) nos tiene contra las cuerdas.,Respuesta Deudas
¿Qué piensas de los humanos?,Pregunta Personal
"cerca de cuatro mil cincuenta y cinco millones seiscientos sesenta y nueve mil quinientos cuarenta y cuatro miles de dólares, esa es la cifra que tenemos pendiente que nos paguen.",Respuesta Cartera
Orgullosos de nuestra base de clientes: la cartera vale 880.063.825 EUR.,Respuesta Cartera
"Estimado, ¿En qué puedo ayudarte hoy?",Saludo
¿Qué tal me dicen Yésica?,Saludo
Estimado espero que tengas un buen día.,Saludo
¡Qué buena pregunta! Somos 126 miembros en esta gran familia laboral.,Respuesta Empleados
¿A qué fecha de corte debe referirse la info de 'ingresos operacionales'?,Pregunta Económica
